word_id,lesson_id,lesson_num,type,audio_id,arabic_text,transliteration,audio_path,sub_type,base_letter,duration_s
QUAIDA_00001,L1_QUAIDA_01,1,alphabet,01_001,ا,Alif,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_001.wav,,,1.811
QUAIDA_00002,L1_QUAIDA_01,1,alphabet,01_002,ب,Ba,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_002.wav,,,1.765
QUAIDA_00003,L1_QUAIDA_01,1,alphabet,01_003,ت,Ta,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_003.wav,,,2.043
QUAIDA_00004,L1_QUAIDA_01,1,alphabet,01_004,ث,Tha,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_004.wav,,,1.834
QUAIDA_00005,L1_QUAIDA_01,1,alphabet,01_005,ج,Jeem,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_005.wav,,,2.415
QUAIDA_00006,L1_QUAIDA_01,1,alphabet,01_006,ح,Haa (deep H),C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_006.wav,,,1.927
QUAIDA_00007,L1_QUAIDA_01,1,alphabet,01_007,خ,Khaa,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_007.wav,,,1.927
QUAIDA_00008,L1_QUAIDA_01,1,alphabet,01_008,د,Daal,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_008.wav,,,1.672
QUAIDA_00009,L1_QUAIDA_01,1,alphabet,01_009,ذ,zhaal,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_009.wav,,,2.043
QUAIDA_00010,L1_QUAIDA_01,1,alphabet,01_010,ر,ra,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_010.wav,,,1.463
QUAIDA_00011,L1_QUAIDA_01,1,alphabet,01_011,ز,za,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_011.wav,,,1.3
QUAIDA_00012,L1_QUAIDA_01,1,alphabet,01_012,س,Seen,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_012.wav,,,1.602
QUAIDA_00013,L1_QUAIDA_01,1,alphabet,01_013,ش,Sheen,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_013.wav,,,2.113
QUAIDA_00014,L1_QUAIDA_01,1,alphabet,01_014,ص,Sad,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_014.wav,,,1.765
QUAIDA_00015,L1_QUAIDA_01,1,alphabet,01_015,ض,Dhaad,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_015.wav,,,2.02
QUAIDA_00016,L1_QUAIDA_01,1,alphabet,01_016,ط,Ta,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_016.wav,,,1.858
QUAIDA_00017,L1_QUAIDA_01,1,alphabet,01_017,ظ,Zha,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_017.wav,,,1.95
QUAIDA_00018,L1_QUAIDA_01,1,alphabet,01_018,ع,Ain,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_018.wav,,,1.974
QUAIDA_00019,L1_QUAIDA_01,1,alphabet,01_019,غ,Ghain,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_019.wav,,,2.113
QUAIDA_00020,L1_QUAIDA_01,1,alphabet,01_020,ف,Fa,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_020.wav,,,1.602
QUAIDA_00021,L1_QUAIDA_01,1,alphabet,01_021,ق,Qaaf,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_021.wav,,,1.95
QUAIDA_00022,L1_QUAIDA_01,1,alphabet,01_022,ك,Kaaf,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_022.wav,,,1.858
QUAIDA_00023,L1_QUAIDA_01,1,alphabet,01_023,ل,Laam,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_023.wav,,,1.579
QUAIDA_00024,L1_QUAIDA_01,1,alphabet,01_024,م,Meem,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_024.wav,,,2.09
QUAIDA_00025,L1_QUAIDA_01,1,alphabet,01_025,ن,Noon,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_025.wav,,,2.206
QUAIDA_00026,L1_QUAIDA_01,1,alphabet,01_026,و,Waw,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_026.wav,,,1.741
QUAIDA_00027,L1_QUAIDA_01,1,alphabet,01_027,ه,Ha,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_027.wav,,,1.858
QUAIDA_00028,L1_QUAIDA_01,1,alphabet,01_028,ء,Hamza,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_028.wav,,,1.858
QUAIDA_00029,L1_QUAIDA_01,1,alphabet,01_029,ي,Ya,C:/Users/PC/Desktop/Qaida_audios/1_Finalized quaida alphabet/01_029.wav,,,1.811
QUAIDA_00030,L2_QUAIDA_02,2,shapes,02_001,لح,lam-ha,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_001.wav,,,2.531
QUAIDA_00031,L2_QUAIDA_02,2,shapes,02_002,با,ba-alif,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_002.wav,,,2.229
QUAIDA_00032,L2_QUAIDA_02,2,shapes,02_003,لا,laam-alif,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_003.wav,,,2.531
QUAIDA_00033,L2_QUAIDA_02,2,shapes,02_004,کا,kaaf-alif,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_004.wav,,,2.763
QUAIDA_00034,L2_QUAIDA_02,2,shapes,02_005,کب,kaaf-ba,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_005.wav,,,2.856
QUAIDA_00035,L2_QUAIDA_02,2,shapes,02_006,بلب,ba-laam-ba,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_006.wav,,,3.344
QUAIDA_00036,L2_QUAIDA_02,2,shapes,02_007,تا,ta-alif,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_007.wav,,,2.392
QUAIDA_00037,L2_QUAIDA_02,2,shapes,02_008,تکث,ta-kaf-tha,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_008.wav,,,3.46
QUAIDA_00038,L2_QUAIDA_02,2,shapes,02_009,بکت,ba-kaaf-ta,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_009.wav,,,3.204
QUAIDA_00039,L2_QUAIDA_02,2,shapes,02_010,بس,ba-seen,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_010.wav,,,2.763
QUAIDA_00040,L2_QUAIDA_02,2,shapes,02_011,ثا,tha-alif,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_011.wav,,,2.159
QUAIDA_00041,L2_QUAIDA_02,2,shapes,02_012,یا,ya-alif,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_012.wav,,,2.531
QUAIDA_00042,L2_QUAIDA_02,2,shapes,02_013,تس,ta-seen,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_013.wav,,,3.158
QUAIDA_00043,L2_QUAIDA_02,2,shapes,02_014,نس,noon-seen,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_014.wav,,,3.204
QUAIDA_00044,L2_QUAIDA_02,2,shapes,02_015,یس,ya-seen,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_015.wav,,,2.763
QUAIDA_00045,L2_QUAIDA_02,2,shapes,02_016,تح,ta-Ha,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_016.wav,,,2.902
QUAIDA_00046,L2_QUAIDA_02,2,shapes,02_017,ثج,tha-jeem,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_017.wav,,,3.181
QUAIDA_00047,L2_QUAIDA_02,2,shapes,02_018,ثس,tha-seen,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_018.wav,,,3.344
QUAIDA_00048,L2_QUAIDA_02,2,shapes,02_019,بج,ba-jeem,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_019.wav,,,2.972
QUAIDA_00049,L2_QUAIDA_02,2,shapes,02_020,یح,ya-Ha,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_020.wav,,,2.902
QUAIDA_00050,L2_QUAIDA_02,2,shapes,02_021,نخ,noon-kha,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_021.wav,,,3.413
QUAIDA_00051,L2_QUAIDA_02,2,shapes,02_022,نم,noon-meem,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_022.wav,,,3.39
QUAIDA_00052,L2_QUAIDA_02,2,shapes,02_023,بم,ba-meem,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_023.wav,,,2.717
QUAIDA_00053,L2_QUAIDA_02,2,shapes,02_024,یم,ya-meem,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_024.wav,,,2.856
QUAIDA_00054,L2_QUAIDA_02,2,shapes,02_025,بی,ba-ya,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_025.wav,,,2.647
QUAIDA_00055,L2_QUAIDA_02,2,shapes,02_026,ثم,tha-meem,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_026.wav,,,3.042
QUAIDA_00056,L2_QUAIDA_02,2,shapes,02_027,تم,ta-meem,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_027.wav,,,2.995
QUAIDA_00057,L2_QUAIDA_02,2,shapes,02_028,تی,ta-ya,C:/Users/PC/Desktop/Qaida_audios/2_alphabet_shapes_final.xlsx/02_028.wav,,,2.949
